KEYLANGUAGE,RUSSIAN,ENGLISH,TURKISH,AZERBAIJANIAN,BELARUSIAN,HEBREW,ARMENIAN,GEORGIAN,ESTONIAN,FRENCH,KAZAKH,KYRGYZ,LITHUANIAN,LATVIAN,ROMANIAN,TAJICK,TURKMEN,UKRAINIAN,UZBEK,SPANISH,PORTUGUESE,ARABAIN,INDONESIAN,JAPANESE,ITALIAN,GERMAN,HINDI
weaponShop,магазин оружия,weaponShop,silahDükkan,silah mağazası,зброевы магазін,חנות נשק,զենքի խանութ,იარაღის მაღაზია,relvapood,armeBoutique,қару дүкені,курал дүкөнү,ginklų parduotuvė,ieroču veikals,Magazin de arme,мағозаи силоҳ,ýarag,weaponShop,qurol do'koni,tienda de armas,loja de armas,متجر الأسلحة,toko senjata,武器屋,negozio di armi,Waffenladen,हथियार की दुकान
Стрелковое_Легкое,Легкое стрелковое,Light shooting,Hafif çekim,Yüngül çəkiliş,Лёгкае стралковае,ירי קל,Թեթև կրակոց,მსუბუქი სროლა,Kerge laskmine,Prise de vue légère,Жеңіл ату,Жарык атуу,Lengvas šaudymas,Viegla šaušana,Tragere usoara,Тирпарронии сабук,Lighteňil atyş,Легке стрілецьке,Yengil tortishish,tiro ligero,Tiro leve,التصوير الخفيف,Pemotretan ringan,ライトシューティング,Tiro leggero,Leichtes Schießen,लाइट शूटिंग
Стрелковое_Тяжелое,Тяжелое стрелковое,Heavy small arms,Ağır küçük kollar,Ağır kiçik silahlar,Цяжкае стралковае,נשק קל כבד,Ծանր փոքր զենքեր,მძიმე მცირე იარაღი,Rasked väikerelvad,Armes légères lourdes,Ауыр жеңіл қарулар,Оор майда курал,Sunkieji šaulių ginklai,Smagie kājnieku ieroči,Arme mici grele,Дастҳои хурди вазнин,Agyr gollar,Тяжке стрілецьке,Og'ir kichik qo'llar,armas pequeñas pesadas,Armas leves pesadas,أسلحة خفيفة ثقيلة,Lengan kecil yang berat,重い小火器,Armi leggere e pesanti,Schwere Kleinwaffen,भारी छोटे हथियार
Ближний_Бой_Одноручное,Одноручное ближний бой,One-Handed Melee,Tek Elle Yakın Dövüş,Tək Əllə Qarşıdurma,Аднаручнае блізкі бой,תגרה ביד אחת,Մի ձեռքով մենամարտ,ცალმხრივი მელე,Ühe käega lähivõitlus,Mêlée à une main,Бір қолмен жекпе-жек,One-Handed Melee,Melee viena ranka,Tuvcīņa ar vienu roku,Melee cu o mână,Мели якдаст,Bir elli Melee,Одноручне ближній бій,Bir qo'l jangi,Cuerpo a cuerpo con una mano,Corpo a corpo com uma mão,المشاجرة بيد واحدة,Jarak Dekat Satu Tangan,片手近接,Mischia a una mano,Einhändiger Nahkampf,वन-हैंडेड मेली
Ближний_Бой_Двуручное,Двуручное ближний бой,Two-Handed Melee,İki Elle Yakın Dövüş,İki əlli döyüş,Двухручны блізкі бой,תגרה בשתי ידיים,Երկու ձեռքով Melee,ორმხრივი მელე,Kahe käega lähivõitlus,Mêlée à deux mains,Екі қолды жекпе-жек,Эки колдуу Мели,Dvirankis Melee,Divroku tuvcīņa,Melee cu două mâini,Муборизаи дудаст,Iki elli Melee,Дворучне ближній бій,Ikki qo'l jangi,Cuerpo a cuerpo a dos manos,Corpo a Corpo de Duas Mãos,المشاجرة باليدين,Jarak Dekat Dua Tangan,両手近接,Mischia a due mani,Zweihändiger Nahkampf,टू-हैंडेड मेली
Только_Метательное,Метательное,Throwing,Atma,atma,Кідальнае,זְרִיקָה,Նետում,სროლა,Viskamine,Lancement,Лақтыру,ыргытуу,Metimas,Mešana,Aruncare,Партофтан,Zyňmak,Мітальне,Otish,Lanzamiento,Arremesso,رمي,Pelemparan,投げ,Lancio,Werfen,फेंकने
attackDistance,атакаРасстояние,attackDistance,saldırı mesafesi,hücum məsafəsi,адлегласць атакі,התקפה מרחק,հարձակում Հեռավորություն,თავდასხმის მანძილი,ründekaugus,AttaqueDistance,шабуыл қашықтығы,чабуул аралык,atakos atstumas,uzbrukuma attālums,atacDistanţa,ҳамла масофа,hüjüm,відстань атаки,hujum masofasi,distancia de ataque,distância de ataque,هجوم المسافة,attackDistance,攻撃距離,attackDistanza,Angriffsdistanz,हमला दूरी
attackSpeed,Скорость атаки,Attack speed,Atak hızı,Hücum sürəti,Хуткасць атакі,מהירות תקיפה,Հարձակման արագություն,შეტევის სიჩქარე,Ründekiirus,Vitesse d'attaque,Шабуыл жылдамдығы,Чабуул ылдамдыгы,Atakos greitis,Uzbrukuma ātrums,Viteza de atac,Суръати ҳамла,Hüjüm tizligi,Швидкість атаки,Hujum tezligi,Velocidad de ataque,Velocidade de ataque,سرعة الهجوم,Kecepatan serangan,攻撃速度,Velocità d'attacco,Angriffsgeschwindigkeit,हमले की गति
reloadSpeed,Скорость перезарядки,Reload Speed,Yeniden yükleme hızı,Yenidən yükləmə sürəti,Хуткасць перазагрузкі,מהירות טעינה,Վերբեռնման արագություն,გადატვირთვის სიჩქარე,Taaslaadimise kiirus,La vitesse de rechargement,Қайта жүктеу жылдамдығы,Кайра жүктөө ылдамдыгы,Perkrovimo greitis,Pārlādēšanas ātrums,Viteza de reîncărcare,Суръати дубора боркунӣ,Tizligi täzeden ýükläň,Швидкість перезавантаження,Qayta yuklash tezligi,Velocidad de recarga,Velocidade de recarga,سرعة إعادة التحميل,Kecepatan isi ulang,リロード速度,Velocità di ricarica,Nachladegeschwindigkeit,पुनः लोड गति
attackDamage,Урон,Damage,Zarar,Zərər,пашкоджанне,נֵזֶק,Վնաս,დაზიანება,Kahju,Dégâts,Зақым,Зыян,Žala,Bojājumi,Deteriora,Зарар,Zyýan,Пошкодження,Zarar,Daño,Dano,تلف,Kerusakan,ダメージ,Danno,Schaden,हानि
attackRange,Диапазон атаки,Attack range,Saldırı menzili,Hücum məsafəsi,Дыяпазон атакі,טווח התקפה,Հարձակման միջակայք,თავდასხმის დიაპაზონი,Rünnaku ulatus,Portée d'attaque,Шабуыл ауқымы,Чабуул аралыгы,Atakos diapazonas,Uzbrukuma diapazons,Raza de atac,Масофаи ҳамла,Hüjüm aralygy,Дальність атаки,Hujum oralig'i,Rango de ataque,Raio de ataque,نطاق الهجوم,Rentang Serangan,攻撃範囲,Raggio d'attacco,Angriffsreichweite,हमले की रेंज
patronCount,Боеприпасы,Ammo Count,Cephane Sayısı,Sursat sayı,Колькасць патронаў,ספירת תחמושת,Զինամթերքի հաշվարկ,საბრძოლო მასალის რაოდენობა,Laskemoona krahv,Nombre de munitions,Оқ-дәрілер саны,Ammo санак,Amunicijos grafas,Munīcijas skaitītājs,Numărul de muniții,Шумораи аммо,Ammo Count,Кількість боєприпасів,O'q-dorilar soni,Conteo de munición,Contagem de munição,عدد الذخيرة,Jumlah Amunisi,弾薬数,Conteggio munizioni,Munition zählen,बारूद की गिनती
attackCount,Количество атак,Attack Count,Saldırı Sayısı,Hücum sayı,Лік нападаў,ספירת התקפות,Հարձակումների հաշվարկ,თავდასხმის რაოდენობა,Rünnakute arv,Nombre d'attaques,Шабуыл саны,Кол салуу саны,Atakų skaičius,Uzbrukumu skaits,Număr de atacuri,Ҳисоби ҳамла,Hüjüm sanasy,Підрахунок атак,Hujumlar soni,Recuento de ataques,Contagem de ataque,عدد الهجوم,Hitungan Serangan,攻撃回数,Conteggio attacchi,Angriffszähler,हमले की गिनती
patronStorage,Хранение боеприпасов,Ammo Storage,Cephane Deposu,Sursat anbarı,Захоўванне боепрыпасаў,אחסון תחמושת,Զինամթերքի պահեստ,საბრძოლო მასალის შესანახი,Laskemoonahoidla,Stockage de munitions,Оқ-дәрі қоймасы,Ок сактагыч,Amunicijos saugykla,Munīcijas uzglabāšana,Depozitare muniție,Захираи амбор,Ammo ammary,Зберігання боєприпасів,O'q-dorilarni saqlash,Almacenamiento de munición,Armazenamento de munição,تخزين الذخيرة,Penyimpanan Amunisi,弾薬庫,Deposito munizioni,Munitionslager,बारूद का भंडारण
accuracy,Точность,Accuracy,Kesinlik,Dəqiqlik,Дакладнасць,דיוק,Ճշգրտություն,სიზუსტე,Täpsus,Précision,Дәлдік,Тактык,Tikslumas,Precizitāte,Precizie,Дақиқӣ,Takyklyk,Точність,Aniqlik,Precisión,Precisão,دقة,Ketepatan,正確さ,Precisione,Genauigkeit,शुद्धता
